addr:TW:dataset,source,addr:couontry,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x_3826,y_3826
168887,新北市政府,TW,新北市,三峽區,礁溪里,010,介壽路一段,197號,2,Ａ,新北市三峽區礁溪里010鄰介壽路一段197號二樓Ａ室,288190.104822,2758163.6340900
168887,新北市政府,TW,新北市,三峽區,礁溪里,010,介壽路一段,197號,3,Ａ,新北市三峽區礁溪里010鄰介壽路一段197號三樓Ａ室,288190.104822,2758163.6340900
168887,新北市政府,TW,新北市,三峽區,礁溪里,010,介壽路一段,197號,3,Ｂ,新北市三峽區礁溪里010鄰介壽路一段197號三樓Ｂ室,288190.104822,2758163.6340900
168887,新北市政府,TW,新北市,三峽區,礁溪里,010,介壽路一段,197號,5,Ａ,新北市三峽區礁溪里010鄰介壽路一段197號五樓Ａ室,288190.104822,2758163.63409
168887,新北市政府,TW,新北市,三峽區,礁溪里,010,介壽路一段,197號,5,Ｂ,新北市三峽區礁溪里010鄰介壽路一段197號五樓Ｂ室,288190.104822,2758163.6340900
168887,新北市政府,TW,新北市,三峽區,礁溪里,010,介壽路一段,197號,6,Ａ,新北市三峽區礁溪里010鄰介壽路一段197號六樓Ａ室,288190.104822,2758163.6340900
168887,新北市政府,TW,新北市,三峽區,礁溪里,010,介壽路一段,197號,6,Ｂ,新北市三峽區礁溪里010鄰介壽路一段197號六樓Ｂ室,288190.105000,2758163.6340000
168887,新北市政府,TW,新北市,三峽區,礁溪里,010,介壽路一段,197號,7,Ｂ,新北市三峽區礁溪里010鄰介壽路一段197號七樓Ｂ室,288190.104822,2758163.6340900
168887,新北市政府,TW,新北市,三峽區,礁溪里,010,介壽路一段,197號,7,Ａ,新北市三峽區礁溪里010鄰介壽路一段197號七樓Ａ室,288190.104822,2758163.6340900
168887,新北市政府,TW,新北市,泰山區,明志里,015,明志路二段372巷,1號,2,Ａ,新北市泰山區明志里015鄰明志路二段372巷1號二樓Ａ,292916.292652,2770817.1757100
