addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x,y,addr:TW:dataset,source
TW,台灣省,澎湖縣,馬公市,中央里,15,中正路5巷,11號,,,澎湖縣馬公市中央里15鄰中正路5巷11號,307654.627,2607005.577,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,16,中正路5巷,36號,,,澎湖縣馬公市中央里16鄰中正路5巷36號,307662.562,2607013.23,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,16,中正路5巷,38號,,,澎湖縣馬公市中央里16鄰中正路5巷38號,307657.934,2607014.93,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中正路,7號,,,澎湖縣馬公市中央里5鄰中正路7號,307684.701,2606834.333,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中正路,9號,,,澎湖縣馬公市中央里5鄰中正路9號,307685.881,2606838.17,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,3,中正路,11號,,,澎湖縣馬公市中央里3鄰中正路11號,307686.199,2606867.274,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,3,中正路,17號,,,澎湖縣馬公市中央里3鄰中正路17號,307685.201,2606878.569,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,3,中正路,19號,,,澎湖縣馬公市中央里3鄰中正路19號,307690.84,2606888.379,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,3,中正路,21號,,,澎湖縣馬公市中央里3鄰中正路21號,307691.24,2606898.787,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,3,中正路,21之1號,,,澎湖縣馬公市中央里3鄰中正路21之1號,307684.888,2606909.279,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,3,中正路,25號,,,澎湖縣馬公市中央里3鄰中正路25號,307690.717,2606911.347,170852,澎湖縣政府
